station_name,country,continent,latitude,longitude,altitude,provider
trier_petrisberg,Germany,Europe,49.748,6.658,265.0,dwd
waldmünchen,Germany,Europe,49.391,12.684,499.0,dwd
weihenstephan_dürnast,Germany,Europe,48.402,11.695,477.0,dwd
würzburg,Germany,Europe,49.77,9.958,268.0,dwd
zinnwald_georgenfeld,Germany,Europe,50.731,13.752,877.0,dwd
zugspitze,Germany,Europe,47.421,10.985,2965.0,dwd
abbeville,France,Europe,50.133,1.833,70.0,wrdc
aberdeen_dyce_arpt,United Kingdom,Europe,57.2,-2.217,69.0,wrdc
aberporth,United Kingdom,Europe,52.133,-4.567,134.0,wrdc
agen,France,Europe,44.167,0.583,58.0,wrdc
aix_en_provence,France,Europe,43.517,5.417,173.0,wrdc
ajaccio,France,Europe,41.917,8.783,5.0,wrdc
albacete,Spain,Europe,39.0,-1.867,674.0,wrdc
albi,France,Europe,43.9,2.1,172.0,wrdc
alencon,France,Europe,48.433,0.1,143.0,wrdc
alicante_arpt,Spain,Europe,38.283,-0.55,31.0,wrdc
almeria_arpt,Spain,Europe,36.85,-2.383,20.0,wrdc
amberieu,France,Europe,45.967,5.317,250.0,wrdc
arenosillo,Spain,Europe,37.1,-6.733,45.0,wrdc
aubenas,France,Europe,44.533,4.367,280.0,wrdc
auch,France,Europe,43.683,0.6,121.0,wrdc
aurillac,France,Europe,44.883,2.417,639.0,wrdc
auxerre_perrigny,France,Europe,47.817,3.533,152.0,wrdc
aviemore,United Kingdom,Europe,57.2,-3.833,240.0,wrdc
badajoz,Spain,Europe,38.883,-7.017,260.0,wrdc
barcelona,Spain,Europe,41.383,2.2,25.0,wrdc
barcelona_arpt,Spain,Europe,41.3,2.05,10.0,wrdc
basel,Switzerland,Europe,47.55,7.583,316.0,wrdc
bastia,France,Europe,42.55,9.483,10.0,wrdc
beaucouze,France,Europe,47.467,-0.6,50.0,wrdc
beauvais_tille,France,Europe,49.433,2.117,89.0,wrdc
belfast_aldergrove_arpt,United Kingdom,Europe,54.667,-6.217,68.0,wrdc
belmullet,Ireland,Europe,54.233,-10.0,10.0,wrdc
bergerac,France,Europe,44.817,0.5,49.0,wrdc
besancon,France,Europe,47.233,5.983,307.0,wrdc
biarritz_anglet,France,Europe,43.467,-1.533,71.0,wrdc
bilbao_sondica,Spain,Europe,43.3,-2.9,41.0,wrdc
biscarosse,France,Europe,44.433,-1.25,33.0,wrdc
